label,ra,dec,theta,p0,kPc
J1126-27,11.4333333333333,-27.6166666666667,171.5,0.358161,2.10
J1126-6054,11.4479466666667,-60.9111,171.7192,0.202736911853,8.05
J1126-6942,11.4393527777778,-69.70425,171.590291666667,0.5794164380,2.07
J1128-6219,11.4796388888889,-62.3191666666667,172.194583333333,0.51598351050,+30.00
J1129-53,11.4891666666667,-53.5166666666667,172.3375,1.062880,2.68
J1130-5826,11.5045361111111,-58.4339722222222,172.568041666667,0.162323475501,9.45
J1130-6807,11.5088647222222,-68.1245888888889,172.632970833333,0.2563527993088,7.14
J1132-46,11.5425,-46.9183333333333,173.1375,0.3254,+7.36
J1132-5627,11.5377055555556,-56.4580277777778,173.065583333333,0.175166247082,+21.30
J1133-6250,11.5642916666667,-62.8473888888889,173.464375,1.02287514082,+30.00
J1136-5525,11.6006027777778,-55.4189722222222,174.009041666667,0.36470557624,2.60
J1137-6700,11.6255802777778,-67.0091694444444,174.383704166667,0.55621605570,+19.53
J1141-3107,11.6904525,-31.1312777777778,175.3567875,0.538431789013,2.72
J1142+0119,11.7,1.31666666666667,175.5,0.00507,+2.04
J1143-5158,11.7208513888889,-51.9777472222222,175.812770833333,0.675646047064,+10.68
J1143-5536,11.7193861111111,-55.60125,175.790791666667,0.68535848563,11.44
J1146-6030,11.7688166666667,-60.5165,176.53225,0.27337242988,2.59
J1147-66,11.7833333333333,-66,176.75,0.00372,4.26
J1148-6415,11.8105,-64.2591666666667,177.1575,3.2410285031,9.07
J1151-6108,11.8657944444444,-61.1382222222222,177.986916666667,0.101633196293,7.65
J1152-6012,11.8816111111111,-60.2058333333333,178.224166666667,0.37656956576,2.09
J1153-21,11.8833333333333,-21.3,178.25,2.34348,+2.76
J1154-6250,11.9055833333333,-62.8340833333333,178.58375,0.28201171065,2.06
J1156-5909,11.9393055555556,-59.1534166666667,179.089583333333,1.0379310509,8.76
J1157-5112,11.9522683333333,-51.2155944444444,179.284025,0.04358922706284,1.88
J1157-6224,11.9542333333333,-62.4141305555556,179.3135,0.400522048340,9.95
J1159-6409,11.9893611111111,-64.1658333333333,179.840416666667,0.66748553354,6.03
J1159-7910,11.9932527777778,-79.1682222222222,179.898791666667,0.5250742392,4.36
J1201-6306,12.0230583333333,-63.1165277777778,180.345875,0.59213602908,+30.00
J1202-5820,12.0412230555556,-58.3426111111111,180.618345833333,0.452800508195,4.94
J1204-6843,12.0768666666667,-68.7214416666667,181.153,0.3088608620097,5.66
J1207-5050,12.122725,-50.84175,181.840875,0.00484,2.19
J1210-5559,12.16833,-55.9844222222222,182.52495,0.2797673308446,11.65
J1211-6324,12.19005,-63.4125555555556,182.85075,0.433083926199,12.30
J1214-5830,12.2356722222222,-58.5071944444444,183.535083333333,0.90982270118,4.83
J1215-5328,12.2501722222222,-53.4754444444444,183.752583333333,0.63641413680,+11.24
J1216-50,12.2722222222222,-50.4502777777778,184.083333333333,6.355,+8.44
J1222-5738,12.3811944444444,-57.6388888888889,185.717916666667,1.0811635266,2.12
J1224-6407,12.4061625,-64.1316416666667,186.0924375,0.2164762031209,2.31
J1225-5556,12.4288408333333,-55.9453166666667,186.4326125,1.018452868182,5.39
J1225-6035,12.4246194444444,-60.5937777777778,186.369291666667,0.626323941978,6.19
J1225-6408,12.4285555555556,-64.1452777777778,186.428333333333,0.4196177915,24.60
J1226-32,12.4472222222222,-32.45,186.708333333333,6.192997,+3.51
J1227-6208,12.4501225833333,-62.1454969444444,186.75183875,0.03452783464780,15.82
J1227-63,12.4533333333333,-63.15,186.8,0.44457796,15.49
J1231-4609,12.5293777777778,-46.1625555555556,187.940666666667,0.87723907778,+6.16
J1231-6303,12.5202777777778,-63.055,187.804166666667,1.3512362992,12.12
J1232-4742,12.5386388888889,-47.7141388888889,188.079583333333,1.8729943770,1.40
J1233-6312,12.55875,-63.2080555555556,188.38125,0.5647593892,20.49
J1233-6344,12.5610833333333,-63.7486111111111,188.41625,0.75689193363,+30.00
J1235-5516,12.5886111111111,-55.2666666666667,188.829166666667,0.63823381,3.89
J1235-6354,12.5993666666667,-63.9084444444444,188.9905,0.256777653406,27.05
J1236-5033,12.6164305555556,-50.5600833333333,189.246458333333,0.294759771191,+8.29
J1237-6725,12.6238611111111,-67.4260833333333,189.357916666667,2.11097411794,7.80
J1239-6832,12.6663888888889,-68.5410277777778,189.995833333333,1.3019081139,2.89
J1240-4124,12.6715583333333,-41.4143611111111,190.073375,0.51224209318,3.59
J1243-5735,12.7264944444444,-57.5952222222222,190.897416666667,0.47122487769,+19.20
J1243-6423,12.7214327777778,-64.3899583333333,190.821491666667,0.388480921041,13.24
J1244-5053,12.7365222222222,-50.8890555555556,191.047833333333,0.275207111323,+8.49
J1244-6359,12.7465813888889,-63.9965,191.198720833333,0.14727431048,12.05
J1244-6531,12.7439722222222,-65.52,191.159583333333,1.5468189400,+30.00
J1246+22,12.7772222222222,22.8833333333333,191.658333333333,0.473830,+1.77
J1248-6344,12.8128777777778,-63.736,192.193166666667,0.198335136357,23.99
J1248-6444,12.8091305555556,-64.7333333333333,192.136958333333,1.23489349389,9.55
J1249-6507,12.8317555555556,-65.1221666666667,192.476333333333,0.43444487308,8.51
J1251-7407,12.8647055555556,-74.1208444444444,192.970583333333,0.32705773823,5.22
J1253-5820,12.8912061111111,-58.3446916666667,193.368091666667,0.2554963274098,2.94
J1254-6150,12.9090222222222,-61.8474444444444,193.635333333333,0.184502203069,2.24
J1255-6131,12.9319055555556,-61.5194722222222,193.978583333333,0.65797363034,7.36
J1255-62,12.9216666666667,-62.8,193.825,0.18291150816,+30.00
J1259-6741,12.9896388888889,-67.6944444444444,194.844583333333,0.6633290494,2.72
J1300+1240,13.0009935277778,12.6823533611111,195.014902916667,0.00621853194840048,0.62
